,david's score
Denise,-5.094404458082774
King Bonobong,-6.4459825220586975
Reek,-8.973608429973025
Dzachoo,1.7082961679422013
Ho ho ho,-1.1613949149793434
Helios,1.7939372397687912
Kobra,-4.731897588314649
